,RECORD_TYPE,DATA_SOURCE,RECORD_ID,Loan_Range,BUSINESS_NAME_ORG,BUSINESS_ADDR_LINE1,BUSINESS_ADDR_CITY,BUSINESS_ADDR_STATE,BUSINESS_ADDR_POSTAL_CODE,NAICS_Code,Business_Type,OwnedByRaceEthnicity,OwnedBy,OwnedByVeteran,NonProfit,JobsReported,DateApproved,Lender,CD
3329,ORGANIZATION,PPP_LOANS,16351,"e $150,000-350,000",UNITED BOTHERS HOSPITALITY GROUP LLC,4375 E Craig Rd,LAS VEGAS,NV,89115,721110.0,Limited  Liability Company(LLC),Asian,Male Owned,Non-Veteran,,34.0,04/09/2020,"Zions Bank, A Division of",NV-01
572,ORGANIZATION,PPP_LOANS,8155,"d $350,000-1 million","BORMANN DEVELOPMENT, INC.",4121 WAGON TRAIL AVE,LAS VEGAS,NV,89118,236220.0,Corporation,Unanswered,Unanswered,Unanswered,,30.0,04/03/2020,Bank of George,NV-03
1735,ORGANIZATION,PPP_LOANS,11311,"e $150,000-350,000",BOND PEDIATRICS LTD,5751 S FORT APACHE RD STE 100,LAS VEGAS,NV,89148,622110.0,Corporation,Unanswered,Male Owned,Non-Veteran,,16.0,05/01/2020,"Bank of America, National Association",NV-03
1885,ORGANIZATION,PPP_LOANS,11558,"e $150,000-350,000",CR CONSTRUCTION,80 E Levi Ave,Las Vegas,NV,89183,236116.0,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,7.0,07/06/2020,Cross River Bank,NV-03
3147,ORGANIZATION,PPP_LOANS,15855,"e $150,000-350,000",SS WALKINS INC,7929 Sandrock Ranch Street,Las Vegas,NV,89113,561499.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,28.0,05/03/2020,"Zions Bank, A Division of",NV-03
2272,ORGANIZATION,PPP_LOANS,12375,"e $150,000-350,000","HOSPITALITY RENOVATION SERVICES, LLC",7650 DEAN MARTIN DR STE 104,LAS VEGAS,NV,89139,999990.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,38.0,05/01/2020,"JPMorgan Chase Bank, National Association",NV-03
802,ORGANIZATION,PPP_LOANS,8759,"d $350,000-1 million","GALAXY GAMING, INC.",6767 Spencer St,LAS VEGAS,NV,89119,541511.0,Corporation,Unanswered,Unanswered,Unanswered,,40.0,04/14/2020,"Zions Bank, A Division of",NV-01
175,ORGANIZATION,PPP_LOANS,7510,b $2-5 million,T. NICKOLAS CO.,3710 W Sunset Rd,LAS VEGAS,NV,89118,238340.0,Corporation,Unanswered,Unanswered,Unanswered,,115.0,04/08/2020,West Valley National Bank,NV-03
2153,ORGANIZATION,PPP_LOANS,12102,"e $150,000-350,000",GEORGE'S AND GEORGE'S LLC,2445 E SAHARA AVE,LAS VEGAS,NV,89104,441120.0,Limited Liability Partnership,White,Unanswered,Unanswered,,35.0,04/28/2020,Greater Nevada CU,NV-01
985,ORGANIZATION,PPP_LOANS,9485,"d $350,000-1 million","LAS VEGAS PAIN INSTITUTE AND MEDICAL CENTER, LLC",3835 S. JONES BLVD,LAS VEGAS,NV,89103,621111.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,80.0,04/15/2020,"Zions Bank, A Division of",NV-01
